word,count
carry,2
carrying,3
cars,27
carson,19
cartel,1
cartels,2
carter,1
case,37
cases,19
cases…are,1
case…like,1
cash,10
cashed,1
cast,3
catastrophe,9
catastrophes,4
catastrophic,3
catch,1
catching,2
cate,3
cated,11
category,1
caterpillar,10
caterpillar;,1
caterpillars,3
caterpillar’s,1
cation,36
cational,3
cbs,5
cceed,5
ccess,12
ccesses,1
ccessf,35
ce,8
ced,6
ceiling,8
ceilings,2
celebrating,1
celebration,2
celebrity,4
cell,1
cells,1
cent,1
center,18
centers,2
central,2
cents,5
cer,2
certain,37
certainly,23
certified,4
certify,1
ces,2
cetain,1
cetera,5
ch,419
ch!,4
ch;,1
chain,2
chair,2
chairman,5
challenge,2
challenged,2
challengers,1
challenges,4
champ,1
champion,7
champions,1
championship,1
championships,1
chance,17
chances,3
change,84
changed,12
changer,3
changes,2
changing,4
chaos,6
chaotic,1
chapter,5
character,2
characteristics,1
characters,5
charade,1
charge,11
charged,6
charging,1
charitable,2
charities,1
charity,6
charles,1
charlie,1
chart,2
charts,1
cheap,1
cheaper,3
cheapest,9
cheaply,1
cheat,2
cheated,1
cheaters,1
cheating,1
check,20
checked,2
checking,1
checks,11
ched,2
cheering,3
cheerleader,6
cheerleader;,1
cheers,2
cheese,2
chelsea,5
chemistry,1
cherish,3
cherishes,1
chess,1
chevrolet,1
chicago,16
chief,1
child,13
children,29
chilled,1
china,195
china’s,6
chinese,8
ching,2
chipped,2
choice,37
choices,1
choked,2
choking,1
choose,4
chopped,2
choppers,1
chopping,3
chose,3
chris,18
christian,12
christianity,5
christians,14
christians’,1
christie,12
christmas,15
christmas’,1
cing,6
circ,7
circle,2
citibank,2
cities,19
citizen,15
citizens,18
citizenship,1
city,15
civil,2
civilian,2
civilians,3
civilization,2
civilized,2
ck,20
ckabee,1
cked,2
cker,2
ckers,2
ckily,1
cks,7
cky,5
cl,31
cla,1
claim,4
claiming,1
clapping,1
clarify,1
clarity,1
class,19
clean,15
cleaned,1
clear,47
clearance,2
clearly,5
clearsighted,1
cleveland,4
climate,2
clint,2
clinton,116
clintons,5
clinton’s,12
clock,3
close,48
closed,4
closely,4
closing,13
clown,3
cnbc,3
cnbc’s,1
cnn,29
co,950
coaches,5
coal,2
coal;,1
coalesced,2
coast,1
cocaine,1
code,2
coherent,2
coin,1
coincidence,1
coined,1
coins,3
col,2
cold,20
cole,1
colic,1
collapse,1
collapsed,1
collapsing,3
collar,4
collect,2
college,10
colleges,2
colonel,4
colored,1
com,2
combat,2
comcast,1
come,237
comeback,1
comedian,1
comes,45
comfortable,1
coming,114
comm,47
comment,3
commentator,1
commentators,3
commerce,2
commercial,8
commercials,6
commission,2
commissioner,1
commissions,1
commit,1
commitment,8
commitments,1
committed,5
committee,3
committees,1
common,58
comp,4
companies,69
company,64
company;,1
compared,14
comparing,1
comparison,3
compassion,3
compete,12
competed,2
competence,7
competent,2
competing,3
competition,6
competitions,2
competitive,2
competitor,3
competitors,2
complained,1
complaining,1
complete,11
completed,2
completely,3
complex,6
complicate,4
complicated,9
complicated…i,1
compliment,5
compliments,1
comply,3
comprehension…,1
concealed,2
conceded,1
conceived,1
concept,9
concern,2
concerned,14
concl,2
conditioner,4
conditioners,9
conditioning,4
conditions,1
condos,2
conf,2
conference,9
confidence,1
confined,3
conflict,2
confront,3
confrontational,1
congrat,18
congress,8
congressman,2
congressmen,4
connect,1
connectic,4
cons,4
